outward,easting,northing,lat,lon,demand
BH22,405525,103234,50.828613,-1.922906,91.40608014498068
BH23,419005,105304,50.846941,-1.731403,191.71124548091692
BH24,417318,106283,50.855797,-1.755319,78.58633576852272
BH25,423892,95651,50.759957,-1.662613,71.4739146611119
BH3,409220,94824,50.752935,-1.870654,205.0080560916133
BH31,409142,108568,50.876529,-1.871422,83.48164976694217
BH4,407292,91156,50.719982,-1.898054,85.97257985271506
BH5,411886,91650,50.724344,-1.832967,118.34178546559235
BH6,413933,92697,50.733715,-1.803921,81.0781710465955
BH7,412094,93238,50.738625,-1.829959,76.05386951667987
BH8,410633,93933,50.744899,-1.850643,86.14218443114513
BH9,409154,94355,50.748725,-1.871599,74.47554156223809
BL0,378569,416258,53.642408,-2.325634,101.21426788377579
BL1,375168,407322,53.561939,-2.376355,132.8160157604104
BL2,376066,409379,53.580474,-2.362953,83.58691843969106
BL3,371193,407574,53.564005,-2.436385,78.0318477893795
BL4,373750,406426,53.55382,-2.397681,69.6204322148572
BL5,367282,406279,53.552138,-2.495302,103.33352850243446
BL6,366905,417178,53.650065,-2.502151,83.67191648076358
BL7,372524,414537,53.626657,-2.416908,149.7957257839913
BL8,381992,402055,53.514883,-2.273025,115.52693469738482
BL9,387818,398312,53.481409,-2.185031,75.56417631072905
BN1,530279,108178,50.858442,-0.150325,96.0941912932469
BN10,541201,101931,50.799743,0.00236,115.74292792628688
BN11,514170,102959,50.814935,-0.380722,82.06600859291447
BN12,506635,102878,50.815635,-0.487665,115.79440341318256
BN13,512906,104885,50.83249,-0.398069,119.13537257827815
BN14,511696,113488,50.91006,-0.412619,107.32182481014665
BN15,518014,118422,50.953152,-0.321189,83.74234098276348
BN16,506226,102650,50.813664,-0.493525,80.32025674549791
BN17,503174,102733,50.814963,-0.536816,124.14635608305156
BN18,499653,106947,50.853459,-0.585634,210.24971743540797
BN2,526660,123963,51.001127,-0.196226,139.76992456565748
BN20,536007,170530,51.41748,-0.04546,150.36315049353553
BN21,544872,123639,50.993922,0.06302,64.6735738325426
BN22,560847,101910,50.794439,0.28091,79.22194191520502
BN23,563310,102080,50.79528,0.315911,124.19184149169433
BN24,563902,104972,50.821097,0.325585,86.25755779197667
BN25,547081,100699,50.787209,0.085254,124.55507726250372
BN26,556764,104651,50.820183,0.224196,106.95820228901081
BN27,552444,113323,50.899269,0.166516,130.6372322048022
BN3,527907,106465,50.843582,-0.184605,113.5475995712427
BN41,524504,105777,50.838139,-0.233142,94.55419333273245
BN42,524584,105815,50.838457,-0.232003,162.77871942552449
BN43,521629,105458,50.835883,-0.274057,62.468510569768924
BN44,518497,111238,50.888486,-0.316645,107.56030272259265
BN45,526286,112204,50.895517,-0.205641,179.75270338341943
BN5,516566,124270,51.006012,-0.339923,70.51619817694763
BN6,530801,115800,50.926837,-0.140178,140.89555504332313
BN7,541466,112305,50.892909,0.010117,100.05799935185253
BN8,545847,113459,50.902191,0.072835,96.88127285150068
BN9,544658,101059,50.791057,0.051044,104.68169171542255
BN90L,545552,102080,50.800003,0.064112,117.93397609801275
BP1,347392,93360,50.737446,-2.746875,108.84053720142157
BR1,536018,172830,51.438148,-0.044431,114.35465919775534
BR2,538610,170804,51.419315,-0.007952,92.2809636359288
BR3,534374,173581,51.445293,-0.067772,117.75428993712194
BR4,538860,166065,51.376665,-0.006205,91.39820184794232
BR5,546167,167771,51.390169,0.099402,108.86898566134224
BR6,546196,165144,51.36655,0.09875,87.96141913354136
BR7,543319,170983,51.419751,0.059799,117.62977489507824
BR8,551790,168701,51.397046,0.180564,139.57486952446126
BS1,358981,174319,51.466347,-2.591879,119.06616686265541
BS10,360055,185032,51.562742,-2.577633,88.42414418601948
BS11,354442,177864,51.497874,-2.657679,128.268892297715
BS12,359530,178496,51.503938,-2.584454,124.14892994490259
BS13,359634,172953,51.454109,-2.582321,131.0962565306709
BS14,362201,167280,51.403282,-2.544774,137.13251597120225
BS15,368836,177020,51.491266,-2.450248,84.9333753006909
BS16,366052,177261,51.493269,-2.490376,62.77054157642035
BS17,362981,175032,51.47303,-2.534376,48.759114935918106
BS18,364784,164648,51.379779,-2.507386,142.71654401129464
BS19,386545,172250,51.449072,-2.194994,153.78461850630575
BS2,359125,173381,51.457924,-2.589693,95.76579938344139
BS20,348750,175983,51.480473,-2.739395,107.04604580134922
BS21,341501,171539,51.439815,-2.843036,93.5912895693244
BS22,340962,161426,51.348838,-2.849098,168.62225018828323
BS23,331094,162635,51.35859,-2.991015,68.55155434025137
BS24,335265,158208,51.319278,-2.930309,164.5650532913476
BS25,342603,158612,51.323699,-2.825086,59.861843841745554
BS26,340944,154549,51.287001,-2.84822,132.22527321813757
BS27,350521,164207,51.374753,-2.71224,74.9192297054859
BS28,342956,147513,51.223947,-2.818243,51.63574962134035
BS29,338633,159454,51.330858,-2.8822,69.19939801311143
BS3,357061,169771,51.425314,-2.618968,115.96267646909
BS30,368968,178057,51.500592,-2.448436,99.86543049550917
BS31,365862,169601,51.424381,-2.49237,120.83984706538489
BS32,366022,194300,51.646467,-2.492457,140.34316380264883
BS34,364720,185371,51.566108,-2.510374,149.14522618026606
BS35,365842,192189,51.627475,-2.494851,111.56140749630336
BS36,366616,180901,51.526028,-2.482602,112.09635270215912
BS37,370910,183937,51.553564,-2.420958,137.62751513169547
BS39,365869,167087,51.401776,-2.49202,133.67172678116546
BS4,361147,170721,51.434147,-2.560308,102.50451674506735
BS40,352674,161625,51.351716,-2.680974,114.55918167529077
BS41,354698,169969,51.426906,-2.652975,86.24696091759489
BS43,358728,171400,51.440079,-2.595188,99.60488801440378
BS48,349414,169949,51.426276,-2.728962,114.27451451629122
BS49,343064,165272,51.383623,-2.819535,88.33207548191663
BS5,361600,173916,51.462907,-2.554132,74.42422013318654
BS6,362063,174622,51.469287,-2.547538,104.15638363929092
BS7,363099,176769,51.488663,-2.53285,76.47035161117743
BS73,373208,182256,51.538562,-2.387688,124.00773190949252
BS8,357130,173447,51.458373,-2.618418,116.62034783421358
BS9,356886,176678,51.4874,-2.62233,112.74997777178348
BT1,334024,374608,50.065997,-11.715992,96.12970943859848
BT10,330429,369866,50.021826,-11.762779,61.21249476783252
BT11,329724,371749,50.038402,-11.773923,73.28243561611382
BT12,332237,373461,50.0549,-11.740104,123.38714746052138
BT13,331711,375057,50.068986,-11.748554,94.5129169987374
BT14,331936,376738,50.084172,-11.746598,77.5834466916253
BT15,333465,377445,50.091206,-11.725762,72.09192890115051
BT16,342386,373788,50.062316,-11.598869,180.86008830619312
BT17,103080,471312,54.051988,-6.538178,93.90348845093168
BT18,340701,379473,50.112597,-11.626201,111.8559150178458
BT19,103336,471080,54.050057,-6.534053,85.06826741924316
BT2,333687,373686,50.057575,-11.720051,136.70871831802467
BT20,83532,522392,54.49778,-6.889675,119.0184613252393
BT21,359135,379852,50.123757,-11.369148,103.66209613319586
BT22,158352,561304,54.887903,-5.769415,151.27690221633762
BT23,116168,517552,54.473725,-6.382663,85.30856292958576
BT24,338987,355070,49.892856,-11.633557,92.59343472938762
BT25,323319,352577,49.863457,-11.849381,81.72467668574195
BT26,324384,358838,49.920126,-11.839061,103.11704157013763
BT27,328046,364045,49.968518,-11.791843,78.75731552717644
BT28,324670,365973,49.984267,-11.840187,139.0878522970115
BT29,316222,376806,50.077494,-11.965734,85.01987626725646
BT3,335376,376920,50.08734,-11.69874,110.40087721830243
BT30,350836,340956,49.771222,-11.459881,100.84189845800988
BT31,334153,336312,49.722401,-11.687883,122.4410761004884
BT32,110440,537952,54.653261,-6.490857,71.32541647519365
BT33,435816,388224,53.389664,-1.462929,154.30009582832508
BT34,121312,522408,54.520091,-6.308093,140.40455585306722
BT35,307976,326871,49.625601,-12.043065,112.38520017472268
BT36,331890,382742,50.13802,-11.751443,98.40970646512501
BT37,335010,382575,50.137926,-11.70777,97.64665128294469
BT38,112468,549336,54.756413,-6.470744,66.9436080167172
BT39,327242,390380,50.204436,-11.821799,98.37320638932073
BT4,149336,530952,54.611337,-5.883482,131.1522012677745
BT40,107360,535280,54.627546,-6.535774,163.42341631649825
BT41,313306,389095,50.186326,-12.015603,91.0890321468157
BT42,244048,504040,54.407854,-4.404352,105.5436376169964
BT43,308441,404413,50.321331,-12.095346,111.6110119451658
BT44,134072,516028,54.469759,-6.105744,102.03494799577417
BT45,106496,552040,54.777184,-6.565976,143.60480854871588
BT47,86736,571960,54.943604,-6.893672,89.67170702815697
BT48,60832,580760,55.00542,-7.306753,77.60876396993397
BT49,267110,423296,50.468686,-12.690671,137.43645858970265
BT5,154480,527976,54.587178,-5.801525,96.8389867073717
BT55,285781,440948,50.637217,-12.443325,115.17833103558246
BT57,138984,545792,54.739123,-6.056621,99.91792444349623
BT6,111848,549712,54.759427,-6.48072,104.90042416121015
BT61,290857,345865,49.787418,-12.294407,154.57514752554363
BT62,301868,353569,49.862073,-12.147792,57.828848071352624
BT66,311670,363189,49.953159,-12.018958,92.25949407629902
BT67,314104,364567,49.966691,-11.986146,100.4551101867285
BT68,275613,345410,49.775304,-12.505112,77.2707484033639
BT69,266451,352419,49.833119,-12.637933,102.39007707477101
BT7,331906,371721,50.039145,-11.743494,213.29272073527136
BT70,274890,374999,50.040153,-12.540007,91.31956323823628
BT71,280837,361772,49.924788,-12.446263,151.871825773811
BT74,224540,344020,49.733168,-13.210203,140.18214430599417
BT78,234642,382991,50.088426,-13.107436,63.75390820807163
BT7O,110264,537328,54.647569,-6.492959,112.74763903578989
BT8,335207,367916,50.006476,-11.694879,106.50856386210188
BT80,107400,535304,54.627784,-6.535181,101.00097941553368
BT82,105784,554012,54.794432,-6.579008,78.31784136407839
BT9,310304,675576,55.964779,-3.438459,79.42613499283837
BT92,177016,613904,55.368347,-5.520335,82.86886932369096
BT93,222459,365116,49.920769,-13.259452,134.3021408939489
BT94,230040,342687,49.724627,-13.132933,115.19713711923114
BX1,358472,460992,54.043228,-2.63567,90.99783225567795
BY14,143360,532881,54.62563,-5.977475,117.07798293825272
C02,600696,224000,51.878448,0.914389,80.81852233694396
C03,596616,223656,51.876812,0.854997,190.12230441118655
C04,600720,229040,51.923695,0.917671,79.1316620070502
C05,594508,228172,51.918104,0.826961,85.61947963422668
C06,584768,230448,51.941858,0.686725,105.74997635576051
CA1,341721,554832,54.884833,-2.909965,123.36883215375396
CA10,357751,521253,54.584715,-2.655222,61.50394900674877
CA11,347259,531521,54.675989,-2.81941,82.76436265212254
CA12,331412,525808,54.622744,-3.06377,51.27843802323452
CA13,312246,530226,54.659464,-3.361852,116.74509605623493
CA14,320271,500175,54.390802,-3.229342,91.51292457443446
CA15,312973,529447,54.65259,-3.350352,106.78675461265608
CA16,369425,521039,54.583631,-2.474579,93.93085190064733
CA17,375833,506090,54.449638,-2.374212,106.77448683040241
CA18,309552,496498,54.355973,-3.393252,56.68894148046321
CA19,313377,500537,54.392921,-3.335587,184.29718170451372
CA2,339156,555063,54.886601,-2.949991,146.28641023110455
CA20,305304,503799,54.420791,-3.460923,76.7955381531619
CA21,301020,506292,54.442369,-3.527751,94.86943141388788
CA22,334158,474023,54.157793,-3.009751,89.39115989911167
CA23,308060,513908,54.512115,-3.42161,126.4535615304218
CA24,300197,514400,54.515047,-3.543173,148.31157363365926
CA25,302185,515042,54.521206,-3.512686,105.60548376723851
CA26,304453,516725,54.536758,-3.478212,50.291793700705554
CA27,297046,511912,54.492067,-3.590951,130.6515530472574
CA28,298856,517900,54.546228,-3.565084,75.69935932532601
CA3,337054,562654,54.954547,-2.984413,141.50354574262855
CA4,350591,537387,54.729042,-2.768739,77.45245990806524
CA5,335997,553093,54.868505,-2.998795,148.05330924682863
CA6,356681,534099,54.700056,-2.673686,130.43872999005634
CA7,319764,543961,54.784118,-3.249123,125.82711118257606
CA8,357507,557828,54.913347,-2.664357,90.53734801247045
CA9,374045,543278,54.783742,-2.405096,139.5194809405517
CB1,545432,259374,52.213415,0.127248,98.23639821335387
CB10,550570,238623,52.025602,0.193215,181.46859293440673
CB11,551113,240273,52.040285,0.201862,126.09907503453857
CB2,545160,254796,52.172353,0.121307,67.02752485267736
CB21,555474,251055,52.13594,0.270299,170.4740944907472
CB22,545981,249866,52.127846,0.131188,82.61572282704273
CB23,533917,260173,52.223505,-0.040859,140.8191139149596
CB24,536576,269527,52.306901,0.001813,85.04927223560422
CB25,553350,265184,52.263466,0.245684,86.01909228646424
CB3,540893,257929,52.201612,0.060265,95.3555389640329
CB4,545009,260329,52.222104,0.121469,125.5253081127937
CB5,548223,260261,52.22064,0.168466,99.20874884194308
CB6,539391,297468,52.557231,0.054722,105.00840334512927
CB7,557826,279022,52.386507,0.317701,32.23874778329911
CB8,563923,263704,52.247126,0.39975,104.34234935353388
CB9,567233,242593,52.056499,0.437805,160.9684751918229
CE1,416392,153880,51.283823,-1.766339,98.05054083876499
CF06F,313760,187928,51.583588,-3.246093,86.46891341441972
CF1,319107,177663,51.492109,-3.166574,61.577529107380805
CF10,315543,182734,51.537169,-3.219108,173.07737952347148
CF11,317323,175702,51.474216,-3.191804,70.40544115081879
CF14,318795,180779,51.520074,-3.171773,96.37151793281983
CF15,310992,182061,51.530419,-3.284538,97.32287111461409
CF2,320104,177024,51.486501,-3.152072,92.73973120157099
CF23,319848,179606,51.509678,-3.156343,184.5066905177759
CF24,319132,177297,51.48882,-3.166122,149.8879145549867
CF3,319388,184210,51.551001,-3.164016,187.67737960791297
CF31,290517,179765,51.506186,-3.578889,133.44305106048358
CF32,299915,199388,51.684311,-3.449123,152.45424399327447
CF33,294760,193057,51.626468,-3.521756,58.45758460782178
CF34,290307,190955,51.606723,-3.585402,114.9860932126196
CF35,295350,181453,51.522269,-3.509775,81.12200419323888
CF36,282896,185801,51.558899,-3.690657,99.68710644047229
CF37,308402,189791,51.599489,-3.32388,122.43329847259791
CF38,315533,196998,51.665399,-3.222686,111.94004432844089
CF39,317747,211457,51.795698,-3.194106,114.99241062973144
CF4,316592,180912,51.520945,-3.203562,188.4384708337364
CF40,299728,191880,51.61679,-3.449669,107.62735160495495
CF41,297680,195461,51.648609,-3.480289,55.437763932134175
CF42,294853,197120,51.662997,-3.521631,122.4347019668584
CF43,301507,194494,51.640599,-3.424721,74.52079353205403
CF44,302952,203611,51.722805,-3.406389,67.87968991008711
CF45,305335,198592,51.678096,-3.370533,69.08840246588518
CF46,316691,209822,51.780848,-3.209028,114.16329693238545
CF47,305326,206720,51.75115,-3.372873,57.86041902413166
CF48,305579,207909,51.76188,-3.369535,115.7213854772519
CF5,314010,177298,51.488071,-3.239884,135.7875672964569
CF61,296731,168711,51.407989,-3.486153,132.4299423995736
CF62,311335,170118,51.42312,-3.276591,58.61797600536327
CF63,319974,164731,51.375974,-3.15115,74.35327259538155
CF64,317480,171030,51.432247,-3.188445,88.09682074288222
CF7,299952,174552,51.46107,-3.441518,83.73264859110665
CF71,298986,174971,51.464666,-3.455524,82.71545136550328
CF72,301222,186297,51.566875,-3.426528,71.62475002102843
CF77,301672,173288,51.45001,-3.416416,174.56912455274778
CF81,313795,201353,51.704275,-3.248887,71.36142531429813
CF82,339306,231333,51.977144,-2.885041,126.8923793461108
CF83,318737,194261,51.641266,-3.175738,194.59032424024906
CG64,318784,172424,51.44496,-3.17002,87.54164680343088
CH1,344620,364644,53.176027,-2.830011,57.01521219139354
CH2,341815,369633,53.220569,-2.872887,147.75156488135536
CH21,340609,369375,53.218109,-2.890906,96.29219869842983
CH24,295400,341808,52.963416,-3.558767,93.5831241799434
CH3,347413,360758,53.141386,-2.787597,77.30080743232631
CH4,344585,357142,53.10859,-2.829236,110.81795077170811
CH41,337210,376857,53.284963,-2.94328,64.70264500352904
CH42,332207,386430,53.370382,-3.020355,100.0187265355112
CH43,330015,388442,53.388179,-3.053738,149.37147487050265
CH44,342198,391484,53.416994,-2.871137,93.88589981684804
CH45,330396,393169,53.43071,-3.049055,152.14501626176488
CH46,326451,390359,53.404929,-3.107769,160.16000890861594
CH47,320597,387142,53.375162,-3.194992,100.32492770314857
CH48,322204,386734,53.371736,-3.170737,119.77027121911918
CH49,326566,388008,53.383812,-3.105486,68.35004036456984
CH5,331231,368800,53.211817,-3.031191,74.50902133253896
CH6,324936,372834,53.24721,-3.126385,267.48984993820864
CH60,328277,382827,53.337486,-3.078587,61.1230046482127
